Sentence,Hyperbole,Metaphor
"The $ 321 million Merrill Lynch Pacific Fund has ridden the rising wave of the Tokyo stock market this year , propping its Japanese holdings to about 80 % of the portfolio",1,1
"At Russell Field here he is besieged for autographs and his ears are bent relentlessly by people , mostly older ones , who want to share baseball memories",1,1
"`` All last night , we did n't sleep , dreaming of your visit , '' says Larisa Pohilko , an English - speaking schoolteacher , who is our guide",1,1
"Meanwhile , some state legislatures pass new laws as quickly as judges knock down existing ones",1,1
"The protein , called CD4 , mimics the virus 's natural targets in the body , thus flooding the system with false targets and diverting the virus from its normal course of attack",1,1
"Ere long , he began piling up deficits in order to `` pump prime '' the economy , and he made the government bigger by adding all those alphabetical agencies such as the WPA , the PWA and - LRB - briefly - RRB - the NRA",1,1
"Johnson & Johnson may have stumbled upon a Fountain of Youth cream , according to preliminary research released yesterday",1,1
The buildup could have knocked out pumps needed to inject cooling water from one of the plant 's backup systems into the reactor during an emergency,1,0
"But the overwhelming mass of Soviet people eat dinner at home , after wasting millions of hours in line buying dreadful food , barely seeing a green vegetable in a state grocery all winter - LRB - although the citrus situation is vastly improved from what it once was - RRB -",1,0
The vagaries of American policy hardly seem to matter ; the Soviet bloc just keeps pouring in supplies,1,0
"Rumors fly at Smith Barney that its parent , Primerica , is disgusted and ready to sell the firm , though Primerica denies it",1,1
These guys mix drinks by shaking their booties and making sweaty eye contact with the female customers while pouring potions with names like `` Orgasm .,1,0
I can see the memos flying from one faceless bureaucrat to another,1,1
"`` Ray has touched all the bases , '' said Mr. Bolger",1,0
Judges often ca n't review voluminous fee applications as they pour in,1,1
"`` This is serious because the financial community is getting flooded with these things , '' said Robert Siller , an FBI agent investigating the Ohio incidents",1,0
"`` The big question is whether the pest problems are happening by themselves or whether opportunistic insects are attacking weakened trees , '' said David Marvin , a maple syrup producer in Johnson , Vt",1,1
"He adds , `` We 're trying very hard to avoid the Halley 's comet syndrome - - where you grab everything in sight and then you vanish .",1,1
"`` Jesse 's been knocked out of the box so many times before , '' says City Councilman George Burrell , a Jackson supporter",1,1
A similar regulation in New York was knocked out in court and another court fight is under way in Massachusetts,1,1
"If the story has cooled , it is because Speaker Wright and the Democratic caucus pulled the plug at the right moment",1,1
"As the wifely paragon sits , waiting and weaving , you nearly go to sleep the piece is so static",1,1
Ms. Gaitskill was kicked out of a private school in northern Michigan `` because I did n't wear the school uniform .,1,1
Washington is almost drowning in a sea of hypocrisy about Donald Regan 's book - length revenge for his unceremonious sacking as White House chief of staff,1,1
"Luby 's Cafeterias Inc . , San Antonio , Texas , is targeting the Midwest after recently inching out of its Deep South stronghold into Arizona",1,1
"`` But it would be unusual for the appeals court to kick him out , since all the judges have to live with each other .",1,0
"Like many Hollywood families , the Reagans have long had an almost touching faith in astrological mumbo jumbo",1,1
"With some energetic tub - thumping , Air Canada is drowning out critics of the public stock offering it will launch next week",1,1
"Then , the first vote failed when 50 shouting members of the leftist opposition ascended the rostrum and drowned out the official trying to call the roll",1,0
"Once assembled , the army ate him out of house and home , consuming up to 10 , 000 pounds of hay and 700 pounds of corn a day",1,1
"Mr. McMillin doubts a rash of food takeovers will occur , because many companies already are dancing to Wall Street 's tune",1,1
"Winos will drink anything if need be , but when they have the money to buy what they want , they tend to hew to the familiar . - LRB - Sales resistance may help explain why the handful of low - end products that companies have tried to launch in the past 20 years mostly have bombed. - RRB - / - RRB -",1,0
THIS IRA CHECK missed the trick: It bounced instead of rolling over,1,1
The first time I read an article by humorist P.J. O'Rourke - - `` Among the EuroWeenies '' in Rolling Stone magazine - - I thought I was going to die laughing,1,1
"Dropping from the sky like a truck with the motor running , the Hoosier Pride has thomped down in St. Louis and the 41 - year - old Republican vice - presidential candidate is rolling away in a motorcade , past Taco Bell , Hardees , Schnuck 's and assorted body - repair shops , to arrive at Fox Senior High School in the little town of Arnold",1,1
"`` He ate and slept until he looked like he was going to break , '' recalls Kathleen Perry",1,1
"The once high - flying company stumbled in 1986 when competition intensified in the mainframe market , and it has been revamping its product line since then",1,1
It just eats your soul .,1,1
"On the other hand , I now know an astonishing amount about the sleeping habits of Mr. Kahn 's dog",1,1
"Inflation , attacked in the abortive Austral Plan of 1985 and now the target of new economic measures , has exceeded 300 % over the past year",1,1
I believe your editors would find this combination more palatable when it is necessary for them to eat their words,1,0
"Some analysts say that if Burger King fails to turn around soon , heads will roll at the top",1,1
The impact of her crash coup is melting away as her fund has trailed the market consistently,1,0
Tens of thousands were melted down for scrap metal right after the war,1,0
"Companies are pouring money into advertising the high - tech shoes , which cost $ 65 to $ 100 a pair",1,1
"Mr. Martineau also says the tractors reflect another Russian approach to manufacturing: `` You could melt down one Belarus and make three American tractors with the amount of metal the Russians have put in it , '' he says",1,1
"Sir Geoffrey Howe , the British foreign secretary , told a radio interviewer this week: `` We are not rushing in , pouring money down their throats , but seeking good business opportunities at the same time as pressing them to change their system .",1,1
It 's the condition of a man 's soul when he does n't care who he hurts and he 'd just as soon drink himself to death .,1,1
"`` Fewer and fewer companies are allowing their people to fly first class , '' an Eastern Airlines spokesman says",1,0
"He has tried to convince the public his company is n't , in his words , `` a nice building on the park with everybody sleeping inside .",1,1
"`` Their politics is pure argument , just kicking people in the shins , '' says William McKenzie , executive director of the Ripon Society , a Washington - based organization of moderate and liberal Republicans",1,1
Last year the movies were filled with babies,1,1
"So much black money has poured into one village near Bombay that real - estate prices have soared to almost $ 100 , 000 a hectare",1,0
Just as the American romance with the English garden has come to full bloom and Americans finally are pronouncing Jekyll properly - - Jeekill - - we get reliable intimations of an infinitely droughty future and must begin planting against the imminent desertification of our Anglo - style gardens,1,0
Most seafood eaters never give a second thought to the safety of the delicacies they eat,1,0
"Companies still spend billions of dollars printing and storing forms - - - and destroying them when , say , an address changes",1,0
"Exhausted by my efforts , I paused a moment in a shell - hole ; in a few seconds I felt myself sinking , and struggle as I might I was sucked down until I was firmly gripped round the waist and still being dragged in",1,0
"Credited with pumping new life into tired food brands , he is a lure for any potential acquirer , and is a likely candidate of Philip Morris to lead its lackluster General Foods businesses",1,1
"The hubcaps fell off , he says , and the tape decks `` had a reputation for eating cassettes .",1,0
"Carole Pfeffer put an ad seeking them in a trade publication and was flooded with close to 1 , 000 pictures",1,0
